Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month,Cluster
-0.7415039547347055,11,10,10,10,0,8,1,1,2,1,0.17371557808716478,1,0.17224985152098624,-0.7578507300380191,2,1
-0.7415039547347055,11,10,10,10,1,5,0,1,0,0,-0.3707349007630992,0,-0.3725324408443162,-0.7578507300380191,2,2
-0.7415039547347055,11,10,10,10,1,5,1,1,0,0,-0.3759920655428385,1,-0.377792809585467,-0.7578507300380191,2,2
-0.7415039547347055,12,43,11,40,1,0,0,1,0,6,-0.4112167819986161,0,-0.41303899362633717,-0.7578507300380191,2,0
-0.7415039547347055,12,43,11,40,1,0,1,1,0,6,-0.40320260246468126,1,-0.4050199298776122,-0.7578507300380191,2,0
-0.7415039547347055,13,31,12,29,0,8,0,0,2,1,-0.4739260244201317,0,-0.47578645398495006,-0.7578507300380191,2,1
-0.7415039547347055,13,31,12,29,0,8,1,0,2,1,-0.47394314873537513,1,-0.4758035887365499,-0.7578507300380191,2,1
-0.7415039547347055,14,4,13,4,0,8,0,1,4,4,1.814567464714588,0,1.8141017498176233,-0.7578507300380191,2,1
-0.7415039547347055,14,4,13,4,0,8,1,1,4,4,1.8084540841726762,1,1.8079846434964806,-0.7578507300380191,2,1
-0.7415039547347055,15,40,13,4,0,8,0,1,4,4,-0.42960829657008187,0,-0.431441716844565,-0.7578507300380191,2,1
-0.7415039547347055,15,40,13,4,0,8,1,1,4,4,-0.4290260698518046,1,-0.43085913529017045,-0.7578507300380191,2,1
-0.7415039547347055,17,48,15,44,1,0,0,1,0,0,-0.4308583715828538,0,-0.4326925537113533,-0.7578507300380191,2,0
-0.7415039547347055,17,48,15,44,1,0,1,1,0,0,-0.42041253928434896,1,-0.4222403552354511,-0.7578507300380191,2,0
-0.7415039547347055,21,12,18,12,1,4,0,1,0,0,-0.2250583509870661,0,-0.22676710898448016,-0.7578507300380191,2,2
-0.7415039547347055,21,12,18,12,1,4,1,1,0,0,-0.2299045322009626,1,-0.23161624368723477,-0.7578507300380191,2,2
-0.7415039547347055,23,19,20,18,1,0,0,1,0,0,-0.19777931680424954,0,-0.19947144968593555,-0.7578507300380191,2,0
-0.7415039547347055,23,19,20,18,1,0,1,1,0,0,-0.15000247727502275,1,-0.1516654927223829,-0.7578507300380191,2,0
